Estacao,Dia,Mes,Ano,Hora,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,
82689,31,01,1969,0000,33.983871,27.222581,21.787097,
82689,28,02,1969,0000,33.378571,26.731429,21.659259,
82689,31,03,1969,0000,32.496774,26.773548,22.370968,
82689,30,04,1969,0000,32.163333,26.554,21.706667,
82689,31,05,1969,0000,32.33871,26.350968,21.609677,
82689,30,06,1969,0000,31.796667,25.611333,20.156667,
82689,31,07,1969,0000,30.948387,25.100645,18.767742,
82689,31,08,1969,0000,33.103226,26.218065,19.135484,
82689,30,09,1969,0000,34.366667,27.064,20.236667,
82689,31,10,1969,0000,34.932258,27.374839,20.935484,
82689,30,11,1969,0000,34.896667,27.621333,21.303333,
82689,31,12,1969,0000,35.003226,27.731613,21.806452,
82689,31,01,1970,0000,33.948387,27.456774,22.212903,
82689,28,02,1970,0000,34.739286,27.557857,21.982143,
82689,31,03,1970,0000,32.116129,26.218065,21.416129,
82689,30,04,1970,0000,32.69,26.541333,21.423333,
82689,31,05,1970,0000,33.151613,26.276129,19.46129,
82689,30,06,1970,0000,33.23,26.504667,20.06,
82689,31,07,1970,0000,32.535484,25.983871,19.532258,
82689,31,08,1970,0000,33.374194,26.821935,20.529032,
82689,30,09,1970,0000,34.816667,27.69,20.836667,
82689,31,10,1970,0000,35.035484,27.920645,21.651613,
82689,30,11,1970,0000,34.293333,27.672,21.783333,
82689,31,12,1970,0000,36.322581,29.59871,23.193548,
82689,31,01,1973,0000,33.448387,27.644516,22.790323,
82689,28,02,1973,0000,34.392857,28.019286,22.871429,
82689,31,03,1973,0000,32.603226,26.707742,22.774194,
82689,30,04,1973,0000,31.17,25.771333,21.9,
82689,31,05,1973,0000,30.719355,25.465161,20.983871,
82689,30,06,1973,0000,30.743333,25.306,21.15,
82689,31,07,1973,0000,31.370968,25.373548,20.03871,
82689,31,08,1973,0000,33.66129,26.443871,19.377419,
82689,30,09,1973,0000,34.61,28.178667,21.6,
82689,31,10,1973,0000,34.770968,28.052258,21.954839,
82689,30,11,1973,0000,35.433333,28.622667,22.346667,
82689,31,12,1973,0000,34.841935,28.449677,22.790323,
82689,31,01,1974,0000,32.745161,26.694194,21.706452,
82689,28,02,1974,0000,30.889286,25.475714,21.157143,
82689,31,03,1974,0000,30.977419,25.563871,21.787097,
82689,30,04,1974,0000,30.316667,25.028,21.373333,
82689,31,05,1974,0000,29.974194,24.821935,20.567742,
82689,30,06,1974,0000,29.696667,24.218,19.14,
82689,31,07,1974,0000,29.477419,24.109677,18.087097,
82689,31,08,1974,0000,32.674194,26.064516,18.906452,
82689,30,09,1974,0000,33.62,27.06,20.343333,
82689,31,10,1974,0000,34.187097,27.28129,21.303226,
82689,30,11,1974,0000,33.5,27.018,20.883333,
82689,31,12,1974,0000,34.216129,27.332903,21.196774,
82689,31,01,1975,0000,33.787097,27.674194,21.651613,
82689,28,02,1975,0000,30.957143,25.625714,21.535714,
82689,31,03,1975,0000,31.022581,25.64,21.480645,
82689,30,04,1975,0000,31.553333,25.898667,21.66,
82689,31,05,1975,0000,29.796774,24.822581,20.683871,
82689,30,06,1975,0000,30.183333,24.796667,19.806667,
82689,31,07,1975,0000,29.229032,23.694839,18.632258,
82689,31,08,1975,0000,31.706452,25.570323,18.806452,
82689,30,09,1975,0000,33.773333,27.300667,20.536667,
82689,31,10,1975,0000,34.854839,27.974194,21.76129,
82689,30,11,1975,0000,34.883333,27.958667,21.44,
82689,31,12,1975,0000,33.974194,27.580645,21.551613,
82689,31,01,1976,0000,34.496774,27.737419,21.751613,
82689,29,02,1976,0000,31.475862,25.871724,21.503448,
82689,31,03,1976,0000,30.96129,25.507097,21.377419,
82689,30,04,1976,0000,30.983333,25.523333,21.016667,
82689,31,05,1976,0000,32.321429,25.884286,20.206897,
82689,30,06,1976,0000,32.470588,25.825882,18.733333,
82689,31,07,1976,0000,32.322581,25.969677,19.290323,
82689,31,08,1976,0000,33.43871,26.24,19.387097,
82689,30,09,1976,0000,33.893333,26.860667,20.25,
82689,31,10,1976,0000,33.345161,27.093548,21.641935,
82689,30,11,1976,0000,33.763333,27.393333,21.473333,
82689,31,12,1976,0000,34.590323,28.022581,21.422581,
82689,31,01,1977,0000,31.325806,26.212903,21.641935,
82689,28,02,1977,0000,31.446429,25.742143,21.175,
82689,31,03,1977,0000,31.283871,25.765161,21.506452,
82689,30,04,1977,0000,30.77,25.606,21.7,
82689,31,05,1977,0000,30.609677,25.301935,20.587097,
82689,30,06,1977,0000,29.993333,24.708667,20.256667,
82689,31,07,1977,0000,29.932258,24.298065,18.509677,
82689,31,08,1977,0000,32.458065,25.854194,19.216129,
82689,30,09,1977,0000,34.003333,27.326,20.366667,
82689,31,10,1977,0000,35.141935,28.278065,21.809677,
82689,30,11,1977,0000,35.386207,28.578621,21.706897,
82689,31,12,1977,0000,33.535484,27.712903,22.458065,
82689,31,01,1978,0000,32.703226,27.006452,21.922581,
82689,28,02,1978,0000,31.403571,26.178571,21.814286,
82689,31,03,1978,0000,30.774194,25.481935,21.164516,
82689,30,04,1978,0000,31.943333,26.269333,21.716667,
82689,30,06,1978,0000,30.596667,24.555333,19.123333,
82689,31,07,1978,0000,31.790323,25.313548,19.558065,
82689,31,08,1978,0000,32.66129,26.142581,19.722581,
82689,30,09,1978,0000,33.93,27.352,20.756667,
82689,31,10,1978,0000,34.951613,28.071613,21.183871,
82689,30,11,1978,0000,35.06,28.068,21.916667,
82689,31,12,1978,0000,34.2,28.087742,22.496774,
82689,31,01,1979,0000,34.077778,,22.174074,
82689,28,02,1979,0000,32.003846,,22.207692,
82689,31,03,1979,0000,31.848148,,22.374074,
82689,30,04,1979,0000,31.242308,,22.073077,
82689,31,05,1979,0000,30.34,,21.196667,
82689,30,06,1979,0000,31.262963,,19.510714,
82689,31,07,1979,0000,31.709091,,19.659091,
82689,31,08,1979,0000,33.595652,,21.013043,
82689,30,09,1979,0000,34.192,,21.772,
82689,31,10,1979,0000,35.15,,22.308333,
82689,30,11,1979,0000,34.704545,,22.854545,
82689,31,12,1979,0000,35.427586,,23.248276,
82689,31,01,1980,0000,33.67931,,23.068966,
82689,29,02,1980,0000,31.836364,,22.072727,
82689,31,03,1980,0000,31.258621,,22.041379,
82689,30,04,1980,0000,32.903571,,22.325,
82689,31,05,1980,0000,33.533333,,22.159259,
82689,30,06,1980,0000,32.368,,21.519231,
82689,31,07,1980,0000,33.052632,,20.273684,
82689,31,08,1980,0000,33.796154,,21.046154,
82689,30,09,1980,0000,34.728571,,22.214286,
82689,31,10,1980,0000,35.066667,,22.220833,
82689,30,11,1980,0000,34.214286,,22.675,
82689,31,12,1980,0000,34.317241,,22.903448,
82689,31,01,1981,0000,33.396296,27.561481,23.044444,
