Estacao,Data,Hora,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,
82798,31/05/1993,0000,29.825806,26.958065,23.767742,
82798,30/06/1993,0000,28.835714,25.472593,22.533333,
82798,31/07/1993,0000,28.306452,24.860645,21.5,
82798,31/08/1993,0000,28.887097,25.783333,22.343333,
82798,30/09/1993,0000,29.49,26.513793,23.627586,
82798,31/10/1993,0000,29.751613,27.074194,24.622581,
82798,30/11/1993,0000,30.213333,27.470667,25.323333,
82798,31/12/1993,0000,30.716129,27.773333,25.393333,
82798,31/01/1994,0000,30.3,27.74,25.103226,
82798,28/02/1994,0000,30.664286,28.004444,25.614815,
82798,31/03/1994,0000,30.706897,,,
82798,30/04/1994,0000,29.926667,,,
82798,31/05/1994,0000,29.183871,,,
82798,30/06/1994,0000,28.296667,,,
82798,31/07/1994,0000,28.313333,25.134,21.887097,
82798,31/08/1994,0000,28.783871,25.354839,21.996774,
82798,30/09/1994,0000,28.927778,26.003333,23.361111,
82798,31/10/1994,0000,29.522581,27.110667,25.354839,
82798,30/11/1994,0000,30.04,27.170667,24.943333,
82798,31/12/1994,0000,30.025806,27.264,25.448387,
82798,31/01/1995,0000,30.167857,27.248148,25.221429,
82798,28/02/1995,0000,30.807143,27.86,24.753571,
82798,31/03/1995,0000,31.135484,28.274839,25.003226,
82798,30/04/1995,0000,30.21,27.600667,24.496667,
82798,31/05/1995,0000,29.906452,27.075172,23.643333,
82798,30/06/1995,0000,28.413333,25.530667,22.837931,
82798,31/07/1995,0000,28.435484,25.334286,22.445161,
82798,31/08/1995,0000,28.741935,25.610667,21.948387,
82798,30/09/1995,0000,28.983333,26.240667,23.4,
82798,31/10/1995,0000,29.33871,26.496,23.046667,
82798,30/11/1995,0000,29.23,26.778,24.016667,
82798,31/12/1995,0000,30.019355,27.950323,25.951613,
82798,31/01/1996,0000,30.33871,27.803448,25.006897,
82798,29/02/1996,0000,30.734483,27.987857,24.817241,
82798,31/03/1996,0000,30.28,27.499333,24.522581,
82798,30/04/1996,0000,29.511111,26.902222,23.962963,
82798,31/05/1996,0000,29.958065,26.698065,23.167742,
82798,30/06/1996,0000,28.686207,25.604138,22.444828,
82798,31/07/1996,0000,28.032258,25.309032,22.148387,
82798,31/08/1996,0000,28.258065,25.652593,22.429032,
82798,30/09/1996,0000,28.55,25.951724,22.743333,
82798,31/10/1996,0000,29.248387,26.860645,23.532258,
82798,30/11/1996,0000,30.023333,27.509655,24.417241,
82798,31/12/1996,0000,30.554839,28.065714,25.231034,
82798,31/01/1997,0000,30.809677,28.334194,25.687097,
82798,28/02/1997,0000,30.435714,28.127407,25.346429,
82798,31/03/1997,0000,30.290323,27.789286,25.216667,
82798,30/04/1997,0000,29.843333,26.808667,23.463333,
82798,31/05/1997,0000,29.716129,26.42,23.566667,
82798,30/06/1997,0000,29.253333,25.86,22.013333,
82798,31/07/1997,0000,28.658065,24.945806,21.509677,
82798,31/08/1997,0000,28.341935,25.016129,21.83871,
82798,30/09/1997,0000,29.286667,26.392,23.036667,
82798,31/10/1997,0000,30.164516,27.274667,24.366667,
82798,30/11/1997,0000,30.416667,27.563333,24.776667,
82798,31/12/1997,0000,30.664516,27.806429,24.725806,
82798,31/01/1998,0000,31.33871,28.372,25.432,
82798,28/02/1998,0000,31.860714,28.948571,26.221429,
82798,31/03/1998,0000,32.209677,29.172,26.103226,
82798,30/04/1998,0000,31.983333,28.744828,25.603448,
82798,31/05/1998,0000,30.703226,27.434815,23.933333,
82798,30/06/1998,0000,29.48,26.256,22.956667,
82798,31/07/1998,0000,29.051613,25.595484,22.493548,
82798,31/08/1998,0000,28.693548,25.369032,22.519355,
82798,30/09/1998,0000,29.453333,26.354,23.006667,
82798,31/10/1998,0000,30.080645,27.466,25.236667,
82798,30/11/1998,0000,30.263333,27.931333,26.08,
82798,31/12/1998,0000,30.525806,28.102667,26.263333,
82798,31/01/1999,0000,30.706452,28.131333,25.612903,
82798,28/02/1999,0000,30.703571,27.882143,25.339286,
82798,31/03/1999,0000,30.586667,28.077333,25.416667,
82798,30/04/1999,0000,31.043333,28.001333,24.53,
82798,31/05/1999,0000,29.745161,26.866207,23.634483,
82798,30/06/1999,0000,29.133333,26.031333,22.53,
82798,31/07/1999,0000,28.525806,25.03871,21.696774,
82798,31/08/1999,0000,28.380645,25.089677,21.790323,
82798,30/09/1999,0000,28.796667,26.095333,23,
82798,31/10/1999,0000,29.251613,26.639355,24.032258,
82798,30/11/1999,0000,30.346667,27.859333,25.573333,
82798,31/12/1999,0000,30.477419,28.011724,25.803226,
82798,31/01/2000,0000,30.374194,27.696774,24.496774,
82798,29/02/2000,0000,30.703448,27.898621,24.492857,
82798,31/03/2000,0000,30.925806,28.076774,24.832258,
82798,30/04/2000,0000,30.189655,27.16,23.910345,
82798,31/05/2000,0000,29.816129,26.655333,23.432258,
82798,30/06/2000,0000,28.766667,25.596,22.753333,
82798,31/07/2000,0000,28.041935,24.677419,22.070968,
82798,31/08/2000,0000,28.509677,25.329677,21.94,
82798,30/09/2000,0000,28.94,26.174667,23.346667,
82798,31/10/2000,0000,29.680645,27.054839,24.767742,
82798,30/11/2000,0000,30.14,27.375333,24.88,
82798,31/12/2000,0000,29.6,27.047742,24.535484,
82798,31/01/2001,0000,30.345161,27.574839,24.73871,
82798,28/02/2001,0000,31.085714,28.072143,24.75,
82798,31/03/2001,0000,30.825806,27.721935,24.129032,
82798,30/04/2001,0000,29.923333,26.757333,22.923333,
82798,31/05/2001,0000,30.393548,27.260645,22.709677,
82798,30/06/2001,0000,29.063333,25.463333,22.1,
82798,31/07/2001,0000,28.496774,25.27871,22.012903,
82798,31/08/2001,0000,28.451613,25.207742,21.890323,
82798,30/09/2001,0000,29.019048,26.030476,22.971429,
82798,31/10/2001,0000,29.806452,27.211613,24.845161,
82798,30/11/2001,0000,30.3,27.713333,25.426667,
82798,31/12/2001,0000,30.587097,27.663226,23.870968,
82798,31/01/2002,0000,30.193548,27.564516,24.932258,
82798,28/02/2002,0000,30.635714,27.906429,24.978571,
82798,31/03/2002,0000,30.56129,27.496774,24.087097,
82798,30/04/2002,0000,30.433333,27.103333,23.61,
82798,31/05/2002,0000,29.922581,26.846452,23.845161,
82798,30/06/2002,0000,28.586667,25.246,22.453571,
82798,31/07/2002,0000,28.496774,25.425161,22.467742,
82798,31/08/2002,0000,28.548387,25.509032,22.416129,
82798,30/09/2002,0000,29.353333,26.530667,23.773333,
82798,31/10/2002,0000,29.703226,26.966452,24.612903,
82798,30/11/2002,0000,30.133333,27.232667,24.83,
82798,31/12/2002,0000,30.709677,28.010968,25.758065,
82798,31/01/2003,0000,31.025806,28.054194,25.083871,
82798,28/02/2003,0000,30.471429,27.655714,24.142857,
82798,31/03/2003,0000,30.677419,27.699355,24.109677,
82798,30/04/2003,0000,30.793333,27.818667,24.033333,
82798,31/05/2003,0000,30.245161,27.271613,23.603226,
82798,30/06/2003,0000,28.586667,25.212,22.03,
82798,31/07/2003,0000,28.636364,25.09,21.959091,
82798,31/08/2003,0000,28.771429,25.597,22.165,
82798,30/09/2003,0000,29.226667,26.21,23.036667,
82798,31/10/2003,0000,29.980645,27.112258,24.464516,
82798,30/11/2003,0000,30.66,27.725333,25.153333,
82798,31/12/2003,0000,30.741935,27.930323,25.429032,
82798,31/01/2004,0000,30.116129,27.207742,24.264516,
82798,29/02/2004,0000,30.641379,27.717931,24.5,
82798,31/03/2004,0000,30.967742,27.990968,24.903226,
82798,30/04/2004,0000,30.626667,27.474667,23.946667,
82798,31/05/2004,0000,29.873333,26.393548,22.841935,
82798,30/06/2004,0000,28.69,25.277333,22.083333,
82798,31/07/2004,0000,28.167742,24.845161,21.329032,
82798,31/08/2004,0000,28.729032,25.265806,21.593548,
82798,30/09/2004,0000,29.533333,26.278,22.93,
82798,31/10/2004,0000,30.006452,27.129032,24.735484,
82798,30/11/2004,0000,30.5,27.519333,25.016667,
82798,31/12/2004,0000,30.793548,27.878065,25.325806,
82798,31/01/2005,0000,31.145161,28.300645,25.822581,
82798,28/02/2005,0000,31.635714,28.776429,26.139286,
82798,31/03/2005,0000,31.845161,28.97871,26.293333,
