Estacao,Dia,Mes,Ano,Hora,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,
82798,31,01,1961,0000,29.446667,26.341333,23.51,
82798,28,02,1961,0000,29.707692,26.530769,22.832143,
82798,31,03,1961,0000,30.319355,26.532258,22.922581,
82798,30,04,1961,0000,29.543333,25.824667,22.37,
82798,31,05,1961,0000,28.974194,25.387097,22.025806,
82798,30,06,1961,0000,28.35,24.933333,21.33,
82798,31,07,1961,0000,27.333333,23.94,20.254839,
82798,31,08,1961,0000,27.483333,24.278,20.358065,
82798,30,09,1961,0000,28.366667,25.074,20.636667,
82798,31,10,1961,0000,28.3,25.156129,22.309677,
82798,30,11,1961,0000,29.516667,26.465333,22.623333,
82798,31,12,1961,0000,30.219355,27.159355,23.622581,
82798,31,01,1963,0000,30.664516,27.426,23.376667,
82798,28,02,1963,0000,30.667857,27.42,23.517857,
82798,31,03,1963,0000,29.087097,26.176129,22.754839,
82798,30,04,1963,0000,29.08,25.724,22.076667,
82798,31,05,1963,0000,28.319355,25.013333,21.348387,
82798,30,06,1963,0000,27.18,23.873793,20.782759,
82798,31,07,1963,0000,26.612903,23.240645,20.170968,
82798,31,08,1963,0000,26.635484,23.659333,19.66129,
82798,30,09,1963,0000,28.34,25.212667,20.796667,
82798,31,10,1963,0000,30.490323,26.866,21.645161,
82798,31,01,1964,0000,30.274194,27.219355,22.829032,
82798,29,02,1964,0000,30.965517,27.514483,23.117241,
82798,31,03,1964,0000,30.63871,27.455333,22.713333,
82798,30,04,1964,0000,29.907407,26.854783,22.773077,
82798,31,05,1964,0000,29.614286,26.695714,22.66129,
82798,30,06,1964,0000,28.763333,25.758667,20.986667,
82798,31,07,1964,0000,28.429032,25.242581,20.6,
82798,31,08,1964,0000,28.487097,25.668387,21,
82798,30,09,1964,0000,28.626667,25.662,20.283333,
82798,31,10,1964,0000,29.419355,26.53931,22.931034,
82798,30,11,1964,0000,29.811111,26.549524,23.375,
82798,31,12,1964,0000,29.463636,26.414737,23.46,
82798,31,01,1965,0000,29.066667,26.072727,22.65,
82798,28,02,1965,0000,29.975,26.83913,22.713043,
82798,31,03,1965,0000,30.348387,26.955,22.755172,
82798,30,04,1965,0000,29.844828,26.75931,22.55,
82798,31,05,1965,0000,28.942308,,21.547059,
82798,30,06,1965,0000,27.461538,24.325714,21.168,
82798,31,07,1965,0000,28.267742,,20.219231,
82798,31,08,1965,0000,27.825806,24.3912,20.180769,
82798,30,09,1965,0000,27.886667,24.48087,20.26087,
82798,31,10,1965,0000,29.583871,26.725,22.892593,
82798,30,11,1965,0000,30,26.804,23.671429,
82798,31,12,1965,0000,29.748387,26.56,23.909677,
82798,31,01,1966,0000,30.1,27.316154,24.324138,
82798,28,02,1966,0000,29.353571,26.437143,23.392857,
82798,31,03,1966,0000,29.809677,26.635556,23.322222,
82798,30,04,1966,0000,30.163333,27.026207,23.203448,
82798,31,05,1966,0000,29.212903,26.013548,22.487097,
82798,30,06,1966,0000,28.313333,25.30963,21.94,
82798,31,07,1966,0000,27.229032,24.156364,21.570968,
82798,31,08,1966,0000,27.245161,24.055714,20.248387,
82798,30,09,1966,0000,28.033333,25.072593,21.066667,
82798,31,10,1966,0000,29.635484,26.211111,22.36129,
82798,30,11,1966,0000,29.906667,26.774286,23.08,
82798,31,12,1966,0000,30.43871,26.813333,23.213043,
82798,31,01,1967,0000,30.777419,27.479231,23.560714,
82798,28,02,1967,0000,30.803571,27.62,23.596429,
82798,31,03,1967,0000,29.827586,26.756429,22.796667,
82798,30,04,1967,0000,29.396552,26.405,22.593333,
82798,31,05,1967,0000,28.577419,25.898621,22.506452,
82798,30,06,1967,0000,28.113333,24.972667,21.376667,
82798,31,07,1967,0000,27.048387,24.211034,20.741935,
