Estacao,Data,Hora,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,
82689,31/01/1981,0000,33.396296,27.561481,23.044444,
82689,28/02/1981,0000,32.838095,27.039091,22.114286,
82689,31/03/1981,0000,30.828571,25.755238,22.27619,
82689,30/04/1981,0000,30.957143,26.022857,21.621429,
82689,31/05/1981,0000,32.110714,26.822143,21.8,
82689,30/06/1981,0000,32.3,26.229167,20.320833,
82689,31/07/1981,0000,32.435,26.262,19.58,
82689,31/08/1981,0000,32.955172,26.626897,20.675862,
82689,30/09/1981,0000,33.966667,27.665926,21.281481,
82689,31/10/1981,0000,35.438462,28.433846,21.930769,
82689,30/11/1981,0000,34.592857,28.125714,22.242857,
82689,31/12/1981,0000,33.896667,28.038,22.88,
82689,31/05/1982,0000,30.37037,25.174815,20.103704,
82689,30/06/1982,0000,31.67931,25.734483,19.758621,
82689,31/07/1982,0000,32.172414,25.969655,19.924138,
82689,31/08/1982,0000,32.88,26.393333,19.933333,
82689,30/09/1982,0000,34.025926,27.417037,21.451852,
82689,31/10/1982,0000,34.765517,27.551724,21.634483,
82689,30/11/1982,0000,34.851852,28.034074,21.948148,
82689,31/12/1982,0000,34.745833,28.3425,22.691667,
82689,31/01/1983,0000,34.893548,,23.141935,
82689,28/02/1983,0000,31.864286,,21.842857,
82689,31/03/1983,0000,32.812903,,21.470968,
82689,30/04/1983,0000,32.213333,,20.933333,
82689,31/05/1983,0000,33.893548,,21.612903,
82689,30/06/1983,0000,33.433333,,20.226667,
82689,31/07/1983,0000,33.503226,,20.154839,
82689,31/08/1983,0000,33.53871,,20.748387,
82689,30/09/1983,0000,34.7,,21.36,
82689,31/10/1983,0000,35.009677,,22.232258,
82689,30/11/1983,0000,35.27,,22.286667,
82689,31/12/1983,0000,35.225806,,23.303226,
82689,31/01/1984,0000,34.509677,,22.987097,
82689,29/02/1984,0000,35.596552,,22.937931,
82689,31/03/1984,0000,31.929032,,22.545161,
82689,30/04/1984,0000,30.463333,,22.133333,
82689,31/05/1984,0000,29.325806,,20.587097,
82689,30/06/1984,0000,30.176667,,18.886667,
82689,31/07/1984,0000,31.254839,,19.206452,
82689,31/08/1984,0000,32.854839,,20.487097,
82689,30/09/1984,0000,34.286667,,21.113333,
82689,31/10/1984,0000,35.051613,,22.154839,
82689,30/11/1984,0000,35.133333,,22.576667,
82689,31/12/1984,0000,34.983871,,22.103226,
82689,31/01/1985,0000,32.896774,,22.941935,
82689,28/02/1985,0000,30.55,,21.342857,
82689,31/03/1985,0000,30.703226,,21.916129,
82689,30/04/1985,0000,30.57,,21.973333,
82689,31/05/1985,0000,29.96129,,21.090323,
82689,30/06/1985,0000,29.45,,19.486667,
82689,31/07/1985,0000,29.712903,,19.290323,
82689,31/08/1985,0000,32.051613,,20.006452,
82689,30/09/1985,0000,33.966667,,21.186667,
82689,31/10/1985,0000,34.554839,,21.490323,
82689,30/11/1985,0000,34.43,,22.093333,
82689,31/12/1985,0000,32.180645,,22.348387,
82689,31/12/1986,0000,,,,
82689,31/12/1987,0000,,,,
82689,31/12/1988,0000,,,,
82689,31/12/1989,0000,,,,
82689,31/12/1990,0000,,,,
82689,31/12/1991,0000,,,,
82689,31/12/1992,0000,,,,
82689,30/11/1993,0000,36.046667,29.7,23.833333,
82689,31/01/1994,0000,32.935484,27.159333,23.245161,
82689,28/02/1994,0000,31.614286,25.942143,22.2,
82689,31/03/1994,0000,30.945161,25.608387,22.290323,
82689,30/04/1994,0000,31.07,25.641333,21.82,
82689,28/02/1995,0000,32.214286,25.883571,21.953571,
82689,31/03/1995,0000,33.016129,26.301935,21.477419,
